Index,Acts number,Acts 
2877,0 of 0,Empty
2878,1 of 1,"Bombay Merged Territories and Areas Jagirs Abolition Act, 1953"
2879,0 of 0,Empty
2880,1 of 5,"Income-tax Act, 1961"
,2 of 5,"Section 24 2 , prior to its amendment by the Finance Act, 1955"
,3 of 5,"Assistant Commissioner, under section 33A of the Income-tax Act, 1922"
,4 of 5,"Commissioner. Section 6 of the Indian Income-tax Act, 1922"
,5 of 5,"Section 16 of the Finance Act, 1955"
2881,1 of 7,In Mullas Transfer of Property Act
,2 of 7,Section 2 6 of the Registration Act
,3 of 7,Much before the enactment of the Transfer of Property Act
,4 of 7,Stamp Act
,5 of 7,Section 2 26 of the General Clauses Act
,6 of 7,Act a question arose in the companytext of the Limitation Act
,7 of 7,The question arose in the companytext of the limitation Act
2882,1 of 10,"Act, to refer to section 3 9 of the U.P. Tenancy Act, 1939"
,2 of 10,"Section 47 of the United Provinces Tenancy Act, 1939"
,3 of 10,"United Provinces Tenancy Amendment Act, 1947"
,4 of 10,"Section 27 of the U.P. Tenancy Amendment Act, 1947"
,5 of 10,"Section 27 of the United, Provinces Tenancy Amendment Act, 1947"
,6 of 10,"United Provinces Land Reforms Act, 1901"
,7 of 10,"Zamindari Abolition and Land Reforms Act, 1950"
,8 of 10,"Provinces Agricultural Tenants Acquisition of Privileges Act, 1949"
,9 of 10,"Consolidation of Holdings Act, 1953"
,10 of 10,"Land Revenue Act, 1901"
2883,1 of 2,Bombay Industrial Relations Act
,2 of 2,Bombay Municipal Corporation Act
2884,1 of 9,"Indian Income- tax Act, 1922"
,2 of 9,"State of Madras. Section 5 of the.Acquisition Act, 1954"
,3 of 9,"Income- tax and Excess Profits Tax Amendment Act, 1947"
,4 of 9,"Finance .No. 3 Act, 1956"
,5 of 9,"High Court under section 256 2 of the Income-tax Act, 1961"
,6 of 9,"Indian Income-tax Act, 1922"
,7 of 9,"Indian Finance Act, 1949"
,8 of 9,"Prior to its amendment by the Finance No. 3 Act, 1956"
,9 of 9,"Madras Electricity Supply Undertakings Acquisition Act, 1954"
2885,1 of 3,"The principle embodied in Section 44, Evidence Act"
,2 of 3,Act 20 of 1863 or as per any other Act
,3 of 3,Section 42 of the Specific Reliefs Act
2886,1 of 1,Contract Act
2887,1 of 5,"English law. Apparently, when framing the Income-Tax Act, 1961"
,2 of 5,"The law in India under the Indian Income-Tax Act, 1922"
,3 of 5,"Act by the Taxation Laws Amendment Act, 1975"
,4 of 5,"Indian Income- Tax Act, 1922"
,5 of 5,"Companies Act, 1956"
2888,1 of 1,"Payment of Bonus Act, 1965"
2889,1 of 7,"Section 13-B of the Industrial Employment Standing Orders Act, 1948"
,2 of 7,"Indian Electricity Act, 1910"
,3 of 7,"Section 13-B of the Industrial Employment Standing Orders Act, 1946"
,4 of 7,"Section 79 of the Electricity Supply Act, 1948"
,5 of 7,"Section 13-B of the Industrial Employment Standing orders Act, 1946"
,6 of 7,"The provisions of the Electricity Supply Act, 1948"
,7 of 7,"Bench Whether the Industrial Employment Standing orders Act, 1946"
2890,1 of 6,"Industries Development and Regulation Act, 1951"
,2 of 6,"Acts are identical. Section 3 of the Rajasthan Sales Tax Act, 1954"
,3 of 6,"Rajasthan Sales Tax Act, 1954 and 2 h of Central Sales Tax Act, 1956"
,4 of 6,"Rajasthan Sales Tax Act, 1954 and the Central Sales Tax Act, 1956"
,5 of 6,"Rajasthan Sales Tax Act, 1954 and Central Sales Tax Act, 1956"
,6 of 6,"Tax Act, 1954 and section 2 h of the Central Sales Tax Act, 1956"
2891,0 of 0,Empty
2892,1 of 1,"Bail Reforms Act, 1966"
2893,0 of 0,Empty
2894,1 of 1,"Kerala General Sales Tax Act, 1963"
2895,0 of 0,Empty
2896,1 of 3,"The Representation of the People Act 43 of 1951, the Act"
,2 of 3,Parliament. By section 10 A of the Act
,3 of 3,Article 103 of the Constitution. Section 146 1 of the Act
2897,1 of 1,"Section 48 2 of the Motor Vehicles Act, 1939"
2898,1 of 1,"In fact, it is the same as the Punjab Excise Act, 1914"
2899,1 of 1,"Fatal Accidents Act, 1855"
2900,0 of 0,Empty
2901,1 of 2,"Section 48 was repealed and the Criminal Procedure Act, 1865"
,2 of 2,"Section 8 of the English Criminal Procedure Act, 1865"
2902,1 of 1,"Section 4-K of the U.P. lndustrial Disputes Act, 1947"
2903,1 of 8,"Private Colleges. The Kerala University Act, 1957"
,2 of 8,"University under section 19 J of the Kerala University Act, 1969"
,3 of 8,"Women, Ernakulam. Incidentally, the Kerala University Act, 1969"
,4 of 8,"Kerala under section 61 a of the Kerala University Act, 1974"
,5 of 8,"Act, 1969 has been repealed by the Kerala University Act, 1974"
,6 of 8,"Gujarat University Act, 1949"
,7 of 8,"Kerala, under section 19 j of the Kerala University Act, 1957"
,8 of 8,"University Act, 1957 was repealed by the Kerala University Act, 1969"
2904,1 of 2,"Customs Act, 1978, and Section 5 of the Imports and Exports Act, 1947"
,2 of 2,"Section 167 81 of the Sea Customs Act, 1978"
2905,1 of 5,"Punjab General Sales Tax Act, 1948"
,2 of 5,"Punjab Municipal Act, 1911"
,3 of 5,In re the Initiative and Referendum Act 1919
,4 of 5,"Punjab Municipal Corporation Act, 1063"
,5 of 5,"Punjab Municipal Corporation Act, 1976"
2906,1 of 2,"Evacuee Interest Separation Act, 1951"
,2 of 2,"Custodian under the Administration of Evacuee Property Act, 1950"
2907,0 of 0,Empty
2908,1 of 1,"East Punjab Urban Rent Restriction Act, 1949"
2909,1 of 3,"Representation of the People Act, 1951"
,2 of 3,"Sec. 123 7 of the Representation of People Act, 1951"
,3 of 3,"Christians with reference to the Land Reforms Act, 1964"
2910,1 of 1,"Land Improvement Loans Act, 1883"
2911,1 of 5,"English Joint Stock Companies Act, 1862"
,2 of 5,"Pursuant to the provisions of the oriental Gas Company Act, 1960"
,3 of 5,"May 1969 as the oriental Gas Company Act, 1960"
,4 of 5,"Legislature passed the Oriental Gas Company Amendment Act, 1970"
,5 of 5,"Gas Company Amendment Act, 1968"
2912,1 of 3,"Indian Income Tax Act, 1922"
,2 of 3,"Kerala General -Sales Tax Act, 1963"
,3 of 3,"Kerala General Sales Tax Act, 1963"
2913,1 of 2,Code of Criminal Procedure of 1973 Act
,2 of 2,Code of Criminal Procedure Act
2914,1 of 1,"Motor Vehicles Act, 1939"
2915,1 of 1,"Indian Succession Act, 1925"
2916,1 of 1,"Court Enlargement of Criminal Appellate Jurisdiction Act, 1970"
2917,1 of 13,"Central Government, section 154 oh the Government of India Act, 1935"
,2 of 13,"Madras Dist rict Municipalities Act, 1920"
,3 of 13,Mysore Laws Extension to Bellary and Amendment Act. 1955
,4 of 13,"Madras state under Section 4 of The Andhra State Act, 1953"
,5 of 13,"Municipalities Act, 1964 replaced the Mysore Municipality Act, 1933"
,6 of 13,"Bellary district companytinued to be governed by the Madras Act, 1920"
,7 of 13,"Madras District Muni cipalities Act, 1920"
,8 of 13,"According by the Railways Local Authorities Taxation Act, 1941"
,9 of 13,"Section 135 of the Indian Railways Act, 1890"
,10 of 13,"Mysore State Municipalities Act, 1933"
,11 of 13,"Ramamurthi taking aid from section SS of the Andhra State Act, 1953"
,12 of 13,"Mysore Municipalities Act, 1964"
,13 of 13,"Section 8 of the Madras District Municipalities Act, 1920"
2918,0 of 0,Empty
2919,0 of 0,Empty
2920,1 of 2,"Musalman Wakf Validating Act, 1913"
,2 of 2,"After the passing of the Orissa Agricultural Income Tax Act, 1947"
2921,1 of 4,"General London Casino Ltd., under the Finance New Duties Act, 1916"
,2 of 4,"Duties Act, 1916, section 1 1 of the Finance New Duties Act, 1916"
,3 of 4,"United Provinces Entertainment and Betting Tax Act, 1937"
,4 of 4,"Entertainment and Betting Tax Act, 1977"
2922,1 of 3,"Rice-Milling Industry Regulation Amendment Act, 1968"
,2 of 3,"Constitution passed the Rice Milling Industry Regulation Act, 1958"
,3 of 3,"Rice-Milling Industry Regulation Act, 1958"
2923,1 of 7,Section 240 1 of the Act
,2 of 7,The expression six months which occurs in S. 533 of the Act
,3 of 7,Section 240 1 b of the Act
,4 of 7,"Bengal Municipal Act, XV of 1932, The Act"
,5 of 7,Bengal General Clauses Act
,6 of 7,The relevant part of section 500 1 b of the Act
,7 of 7,Section 533 of the Act
2924,0 of 0,Empty
2925,1 of 1,Section 4 1 of the Prevention of Corruption Act
2926,1 of 3,Bhopal State Sub Tenants of occupants Protection Act. 1954
,2 of 3,"Bhopal State Land Revenue Act, 1932"
,3 of 3,"Bhopal State Sub- tenants Protection Act, 1952"
2927,0 of 0,Empty
2928,1 of 2,"Private Limited Company incorporated under the Companies Act, 1956"
,2 of 2,"Industrial Disputes Act, 1947"
2929,1 of 2,"State of Bihar, 2 a case under the Bihar Sales Tax Act"
,2 of 2,Travancore-Cochin General Sales Tax Act
2930,1 of 3,"Madhya Pradesh Industrial Relations Act, 1960"
,2 of 3,"Mines was an industry governed by the Industrial Disputes Act, 1947"
,3 of 3,"Central Act, namely, the Industrial Disputes Act, 1947"
2931,1 of 1,"Land Acquisition Act, 1894"
2932,0 of 0,Empty
2933,1 of 2,"Indian Income Tax Act, 1922"
,2 of 2,"Income Tax Act, 1922 and section 84 of the Income Tax Act, 1961"
2934,1 of 1,"This appeal under section 38 of the Advocates Act, 1961"
2935,1 of 2,"Form 19 prescribed under M.P. General Sales Tax Act, 1958"
,2 of 2,"Madhya Pradesh General Sales Tax Act, 1958"
2936,1 of 2,"Agricultural Income Tax Act, 1948"
,2 of 2,"Agricultural Income-Tax Act, 1948"
2937,1 of 1,"Constitution Twentieth Amendment Act, 1964"
2938,1 of 4,Corruption Act hereinafter referred to as the Act
,2 of 4,Criminal Law Amendment Act
,3 of 4,Prevention of Corruption Act
,4 of 4,Land Acquisition Act
2939,0 of 0,Empty
2940,1 of 1,Section 16 of the General Clauses Act
2941,1 of 1,Court Enlargement of Criminal Appellate Jurisdiction Act
2942,1 of 3,It is equally true that there will be an error of fac
,2 of 3,"Rules, 1965. It is number in companytroversy, and has in fac"
,3 of 3,An administrative order which is based on reasons of fac
2943,1 of 1,"Sub-Section 2 of Section 224 of the Government of India Act, 1935"
2944,1 of 5,"Preventive Detention Act, 1950"
,2 of 5,"Act, 1950 and s.10 of the Maintenance of Intemal Security Act, 1971"
,3 of 5,"Customs officers for action under the Customs Act, 1962"
,4 of 5,"Foreign Exchange and Prevention of Smuggling Activities Act, 1974"
,5 of 5,"Act has the same meaning as in s. 2 39 the Customs Act, 1962"
2945,1 of 1,"Income Tax Act, 1961"
2946,1 of 1,"Section 3 of the Indian Income Tax Act, 1922"
2947,1 of 2,"Foreign Exchange and Prevention of Smuggling Activities Act, 1974"
,2 of 2,"Maintenance of Internal Security Act, 1971"
2948,1 of 2,"Criminal Law Amendment Act, 1952"
,2 of 2,"Prevention of Corruption Act, 1947"
2949,1 of 2,"Sections 8 and 9 of the Food Adulteration Act, 1950"
,2 of 2,"Prevention of Food Adulteration Act, 1954"
2950,0 of 0,Empty
2951,1 of 3,"United Provinces Tenancy Amendment Act, 1947"
,2 of 3,"United Provinces Land Revenue Act, 1901"
,3 of 3,"Zamindari Abolition and Land Reforms Act, 1950"
2952,1 of 5,"Central Board of Revenue under the Indian Income Tax Act, 1922"
,2 of 5,"In the first place it was a case under the Provident Fund Act, 1952"
,3 of 5,Chapter IXA of the Act 1922
,4 of 5,"Indian Income Tax Act, 1961"
,5 of 5,"Rule 4 c of the Fourth Schedule, Part A of the Income Tax Act, 1961"
2953,0 of 0,Empty
2954,1 of 1,"Company under s. 33 A of the Industrial Disputes Act, 1947"
2955,1 of 5,"Statutes, 12th Ed., p.17 . In India the General Clauses Act, 1897"
,2 of 5,"Act. Section 5 1 of the Prevention Act, 1947"
,3 of 5,"Anti Corruption Laws Amendment Act, 1964"
,4 of 5,"Jindal was abrogated by the enactment of the Interpretation Act, 1889"
,5 of 5,"Section 5 1  d of the Prevention of Corruption Act, 1947"
2956,1 of 2,"Regulations made under s. 33 of the Indian Medical Council Act, 1956"
,2 of 2,"Council of India under s. 33 of the Indian Medical Council Act, 1956"
2957,1 of 4,"Section 9 1  i of the Punjab Security of Lands Tenure Act, 1953"
,2 of 4,"Punjab Tenancy Act, 1887"
,3 of 4,"Land for the purpose of Punjab Security of Land Tenures Act, 1953"
,4 of 4,"East Punjab Displaced Persons Land Resettlement Act, 1949"
2958,1 of 3,"Pradesh Sugarcane Regulation of Supply and Purchase Act, 1958"
,2 of 3,"Sugarcane Cess Validation Act, 1961"
,3 of 3,"Sugarcane Cess Act, 1956"
2959,1 of 4,"Uttar Pradesh Sugarcane Regulation of Supply Purchase Act, 1953"
,2 of 4,"Sugarcane Regulation of Supply and Purchase Act, 1953"
,3 of 4,"Pradesh Sugar Cane Regulation of Supply and Purchase Act, 1953"
,4 of 4,"Essential Commodities Act, 1955"
2960,1 of 2,"Rules, framed under The Prevention of Food Adulteration Act, 1954"
,2 of 2,"Food and Drugs Act, 1955"
2961,1 of 1,"Section 2 p of the Industrial Disputes Act, 1947"
2962,1 of 1,Section 5 2 of the Prevention of Corruption Act
2963,1 of 3,"Factories Amendment Act, 1976"
,2 of 3,"Factories Act, 1948"
,3 of 3,"Patna under section 26 2 of the Bihar Shops Establishments Act, 1953"
2964,1 of 1,"Court Section 30 i of the Advocates Act, 1961"
2965,0 of 0,Empty
2966,1 of 11,"Karnataka Tenants Temporary Protection from Eviction Act, 1961"
,2 of 11,"Bombay Court of Wards Act, 1905"
,3 of 11,"The Transfer of Property Act, 1882"
,4 of 11,"Agricultural Lands Vidarbha Region and Kutch Area Act, 1958"
,5 of 11,"Mysore Land Reforms Act, 1961"
,6 of 11,"Bombay Rents, Hotel and Lodging House Rates Control Act, 1947"
,7 of 11,The Mysore Tenants Temporary Protection from Eviction Act. 1961
,8 of 11,"Mysore Tenants Temporary Protection from Eviction Act, 1961"
,9 of 11,"Civil Court under the Karnataka Land Reforms Act, 1961"
,10 of 11,"Administration of Evacuee Property Act, 1950"
,11 of 11,"The Bombay Tenancy and Agricultural Lands Act, 1948"
2967,1 of 2,"Income-tax Act, 1952"
,2 of 2,"Indian Income-tax Act, 1922"
2968,1 of 1,"Income-tax Act, 1961"
2969,1 of 4,For the purposes of this Act
,2 of 4,Part I of the Copyright Act
,3 of 4,"British Parliament, namely, the Copy Right Act"
,4 of 4,"It is, therefore, clear that the Act"
2970,1 of 4,"Article 1 of Schedule I of the Bombay Court Fee Act, 1959"
,2 of 4,"Act and of section 69 of the Transfer of Property Act, 1882"
,3 of 4,"The State Financial Corporations Act, 1951"
,4 of 4,"Article 1 of Schedule II o the Bombay Court Fee Act, 1959"
2971,1 of 1,"Zamindari Abolition and Land Reforms Act, 1950"
2972,1 of 5,"Land Eviction and Recovery of Rent and Damages Act, 1959"
,2 of 5,"State Government under . . . the U.P. Tenancy Act, 1939"
,3 of 5,"State Government under the U.P. Tenancy Act, 1939"
,4 of 5,"Section 105 of the Transfer of Property Act, 1882"
,5 of 5,"Section 180 2 of the U.P. Tenancy Act, 1939"
2973,1 of 3,"Section 88 of the Punjab Re-organisation Act, 1966"
,2 of 3,"Punjab was re-organised by the Punjab Re-organisation Act, 1966"
,3 of 3,"Schedule to the Punjab General Sales Tax Act, 1948"
2974,1 of 4,"Section 18AA of the Industries Development and Regulation Act, 1951"
,2 of 4,"Indian Companies Act, 1913"
,3 of 4,"Undertakings and Liquidation or Reconstruction Act, 1967"
,4 of 4,"Section 10 of the Industries Development and Regulation Act, 1951"
2975,1 of 4,Activities Act hereinafter referred to as COFEPOSA Act
,2 of 4,Foreign Exchange Prevention of Smuggling Activities Act
,3 of 4,November 1979 issued under section 3 of the COFEPOSA Act
,4 of 4,Conservation of Foreign Exchange Prevention of Smuggling Act
2976,1 of 2,"Bihar under the Bihar Kendu Leaves Control of Trade Act, 1973"
,2 of 2,Orissa enacted the Orissa Kendu Leaves Control of Trade Act. 1961
2977,1 of 5,"Sections 116 A and 116 B of the Representation of People Act, 1951"
,2 of 5,"Supreme Court under the Special Courts Act, 1979"
,3 of 5,"Under Section 8 2 of the Representation of People Act, 1951"
,4 of 5,"Act or the Government of Union Territories Act, 1963"
,5 of 5,"Section 16 of the Representation of the People Act, 1950"
2978,1 of 7,"Companies Act, 1956 or the Societies Registration Act, 1860"
,2 of 7,"Company registered under the Indian Companies Act, 1882"
,3 of 7,"Indian Companies Act, 1882 or under the English Companies Act, 1862"
,4 of 7,"Section 6 of the Land Acquisition Act, 1894"
,5 of 7,"Food Corporation Act, 1964"
,6 of 7,"Co-operative Societies Act, 1912"
,7 of 7,"Companies Act, 1956"
2979,1 of 10,"Essential Supplies Temporary Powers Act, 1946"
,2 of 10,"Notwithstanding anything in the Government of India Act, 1935"
,3 of 10,"Central Act i.e. the Essential Commodities Act, 1955"
,4 of 10,"First Schedule to the Customs Tariff Act, 1975"
,5 of 10,"General under section 102 of the Government of India Act, 1935"
,6 of 10,"Articles Control and Requisitioning Temporary Powers Act, 1949"
,7 of 10,"Kerala Essential Articles Control Temporary Powers Act, 1961"
,8 of 10,"Constitution Third Amendment Act, 1954"
,9 of 10,"India. Under the Government of India Act, 1935"
,10 of 10,"India Central Government and Legislature Act, 1946"
2980,1 of 1,"Bengal Money Lenders Act, 1940"
2981,1 of 3,"Industrial Disputes Act, 1947"
,2 of 3,"Berar Industrial Disputes Settlement Act, 1947"
,3 of 3,"Section 3A of the U.P. Sales Tax Act, 1948"
2982,1 of 1,"Central Government under s. 3 2  g of the Foreigners Act, 1946"
2983,1 of 1,"Court Enlargement of Criminal Appellate Jurisdiction Act, 1970"
2984,1 of 3,Article 22 and Section 3. sub-section 3 of the COFEPOSA Act
,2 of 3,Article 22 and sub-section 3 of section 3 of the COFEPOSA Act
,3 of 3,"Section 3, sub- section 3 of the COFEPOSA Act"
2985,1 of 4,"Income-Tax Act, 1961"
,2 of 4,"Indian Income Tax Act, 1922"
,3 of 4,Indian Income Tax Act. 1922
,4 of 4,"Tax Act. 1922. At the relevant time s. 45, Income Tax Act, 1961"
2986,1 of 9,"Income-tax Act, 1922"
,2 of 9,"Cantonment Control of Rent Eviction Act, 1952"
,3 of 9,"Bihar Land Reforms Act, 1950"
,4 of 9,"United Provinces Temporary Control of Rent and Eviction Act, 1947"
,5 of 9,"Bombay Rents, Hotel Lodging House Rates Control Act, 1947"
,6 of 9,"Section 27 of the General Clauses Act, 1897"
,7 of 9,"Act, 1947, much less by the later U.P. Rent and Eviction Act, 1972"
,8 of 9,"Urban Buildings Regulation of Letting, Rent Eviction Act, 1972"
,9 of 9,"General clauses Act, 1897"
2987,1 of 4,"Kerala Industrial Employees Payment of Gratuity Act, 1970"
,2 of 4,"Appellate Authority appointed under Payment of Gratuity Act, 1972"
,3 of 4,"West Bengal Employees Payment of Compulsory Gratuity Act, 1971"
,4 of 4,"Court under s.36 3 of the Bombay Industrial Relations Act, 1946"
2988,1 of 1,"Orissa Religious Endowment Act, 1939"
2989,0 of 0,Empty
2990,1 of 4,"Sec. 4A 2 of the Bombay Agricultural Produce Markets Act, 1939"
,2 of 4,"Maharashtra Agricultural Produce Marketing Regulation Act, 1963"
,3 of 4,"Bihar cases. The Bihar Agricultural Produce Markets Act, 1960"
,4 of 4,"Bombay Agricultural Produce Marketing Act, 1939"
2991,1 of 1,"Rules and Bye-laws of the City of Nagpur Corporation Act, 1948"
2992,1 of 1,"Indian Medical Council Act, 1956"
2993,1 of 2,Criminal Procedure Code and the Prevention of Corruption Act
,2 of 2,Sec. 5 2 of the Prevention of Corruption Act
2994,0 of 0,Empty
2995,1 of 2,"Homeopathic Medical Practitioners Registration Act, 1956"
,2 of 2,"Second Schedule to the Indian Medicine Central Council Act, 1970"
2996,1 of 2,"Act, 1952 but number for purposes of the Payment of Bonus Act, 1965"
,2 of 2,"Employees Provident Funds Act, 1952"
2997,1 of 3,Land Acquisition Act hereinafter referred to as the Act
,2 of 3,March 1967 to 26th March 1969 under section 34 of the Act
,3 of 3,Compensation within the meaning of that term as used in the Act
2998,1 of 5,Rent Act and Amendment in Rent Act
,2 of 5,Conveyancing Act
,3 of 5,"Buckley, J. while companystruing an amendment in the Act"
,4 of 5,"Act of 1881, and as to which there is in that Act"
,5 of 5,Court regarding the scope of a Rent Act
2999,1 of 3,"Second Schedule to Madhya Pradesh General Sales Tax Act, 1958"
,2 of 3,"Orissa Sales Tax Act, 1947"
,3 of 3,"Entry No. 39 of the First Schedule to U.P. Sales Tax Act, 1948"
3000,1 of 2,"Act by S. 30 of the Transfer of Property Amendment Act, 1929"
,2 of 2,"Amending Act, 1929"
3001,1 of 1,"Essential Commodities Act, 1955"
3002,1 of 1,"Imposition of Ceiling on Land Holdings Act, 1960"
3003,1 of 1,"Drugs and Cosmetics Act, 1940"
3004,1 of 1,"Pradesh under s. 81 of the Representation of the People Act, 1951"
3005,1 of 4,"No. 2 herein filed a suit under Section 171 of P. Tenancy Act, 1939"
,2 of 4,"Societies Registration Act, 1860"
,3 of 4,"Co-operative Societies Act, 1912"
,4 of 4,"Displaced Persons Compensation and Rehabilitation Act, 1954"
3006,0 of 0,Empty
3007,0 of 0,Empty
3008,1 of 3,"Public Prosecutor. Secondly, such status is for all prac"
,2 of 3,Code to issue directions authorising other persons to ac
,3 of 3,Deputy Government Advocate shall have the authority to ac
3009,1 of 1,"State of Punjab passed the Punjab Security of Land Tenures Act, 1953"
3010,1 of 3,"Industrial Employment Standing Orders Act, 1946"
,2 of 3,"Industrial Dispute Act, 1947"
,3 of 3,"Industrial Disputes Amendment Act, 1964"
3011,1 of 4,"Income-tax Act, 1961"
,2 of 4,Mr. Blanco White under section 163 of the Income-tax Act. 1961
,3 of 4,"Partnership Act, 1890"
,4 of 4,"Section 2 b of the Indian Partnership Act, 1932"
3012,1 of 1,Bill which was passed as Constitution 20th Amendment Act. 1966
3013,0 of 0,Empty
3014,0 of 0,Empty
3015,1 of 4,"Council can undertake under the Advocates Act, 1961"
,2 of 4,"Act. The Preamble of the Advocates Act, 1961"
,3 of 4,"Income Tax Act, 1918"
,4 of 4,"Under s.11 of the Income Tax Act, 1961"
3016,1 of 7,"Act as amended by the Wealth-tax Amendment Act, 1964"
,2 of 7,"Wealth-tax Act, 1957"
,3 of 7,"Act as amended by the Finance Act, 1966"
,4 of 7,"Section 39 of the Indian Mines Act, 1923"
,5 of 7,"Wealth- tax Amendment Act, 1964"
,6 of 7,"Wealth-tax Amendment Act, 1964 number the Finance Act, 1969"
,7 of 7,"Factories Act, 1948"
3017,1 of 3,"Punjab Tenants Security of Tenure Act, 1950"
,2 of 3,"Punjab Security of Land Tenures Act, 1953"
,3 of 3,"Punjab Security of Land Tenures Amendment Act, 1957"
3018,1 of 4,"Profits Tax Act, 21 of 1947 and the Excess Profits Tax Act, 1940"
,2 of 4,"Expenditure Tax Act, 1957"
,3 of 4,"General Clauses Act, 1897"
,4 of 4,"Wealth Tax Act, 1957"
3019,1 of 1,"Finance Act, 1965"
3020,1 of 11,Bank to the appellant in satisfac
,2 of 11,We are number made knowledgeable about the nature and charac
,3 of 11,In fac
,4 of 11,"May 24, 1979, even though ac"
,5 of 11,West Bengal. At the hearing of this motion for taking ac
,6 of 11,Manager of the Bank should ac
,7 of 11,"On June 7, 1979, when the petition for taking ac"
,8 of 11,State of West Bengal took numberfurther ac
,9 of 11,Bank was number ac
,10 of 11,Bank. When this petition for taking ac
,11 of 11,Court. No ac
3021,1 of 10,"Act, namely, The Foreign Exchange Regulation Act, 1947"
,2 of 10,"Act or the provisions of the Companies Act, 1956"
,3 of 10,"Committee Report which led to the Companies Amendment Act, 1960"
,4 of 10,"Foreign Exchange Regulation Act, 1973"
,5 of 10,"United Kingdom under the English Companies Act, 1948"
,6 of 10,"Court under sections 397 and 398 of the Indian Companies Act, 1956"
,7 of 10,"Company within the meaning of the Indian Companies Act, 1913"
,8 of 10,"Private Company in 1949 under the Indian Companies Act, 1913"
,9 of 10,"Additional Director. Under section 287 2 of the Companies Act, 1956"
,10 of 10,"Private Company under the Indian Companies Act, 1913"
3022,1 of 1,Court. It is a companypany incorporated under the Companies Act
3023,1 of 3,"Main- tenance of Internal Security Act, 1976"
,2 of 3,"Medical Termination of Pregnancy Act, 1976"
,3 of 3,"Maintenance of Internal Security Act, 1971"
3024,1 of 4,"Evidence Act, 1872"
,2 of 4,"Anti- Corruption Laws Amendment Act, 1964"
,3 of 4,"Prevention of Corruption Act, 1947"
,4 of 4,"Anti-Corruption Laws Amendment Act, 1964"
3025,1 of 1,"Punjab Excise Act, 1914"
3026,1 of 1,"Foreign Exchange and Prevention of Smuggling Activities Act, 1974"
3027,1 of 1,"Industrial Disputes Act, 1947"
3028,1 of 1,"Industrial Disputes Act, 1947"
3029,1 of 1,"Sales Tax Act, 1948"
3030,1 of 1,"Reference was also made to s. 73, Air Force Act, 1950"
3031,1 of 4,"Bombay Sales Tax Act, 1959"
,2 of 4,"Income Tax Act, 1961"
,3 of 4,"Maharashtra Agriculture Income Tax Act, 1962"
,4 of 4,"Customs Act, 1962"
3032,1 of 1,"Industrial Disputes Act, 1947"
3033,1 of 1,"Forward Contracts Regulation Act, 1952"
3034,0 of 0,Empty
3035,1 of 10,In fac
,2 of 10,Yet another fac
,3 of 10,College and University and his charac
,4 of 10,The matter of public employment occurring in the first extrac
,5 of 10,In the United Nations Hand Book on Civil Service Laws and Prac
,6 of 10,The interview permits an assessment of qualities of charac
,7 of 10,Board and several like fac
,8 of 10,It was held that it did and reference was made to the fac
,9 of 10,Is the oral test so pernicious in prac
,10 of 10,As we have numbered numbersatisfac
3036,1 of 2,"Income-tax Act, 1961"
,2 of 2,"Indian Income-tax Act, 1922"
3037,1 of 1,State of West Bengal has extrac
3038,1 of 1,"Urban Buildings Regulation of Letting, Rent and Eviction Act, 1972"
3039,1 of 4,"Agra Tenancy Act 1926 and U.P. Tenancy Act, 1939"
,2 of 4,"Agra Tenancy Act, 1926"
,3 of 4,"Zamindari Abolition and Land Reforms Act, 1950"
,4 of 4,"Agra Tenancy Act, 1926 and U.P. Tenancy Act, 1939"
3040,1 of 3,"Madras Bhoodan Yagna Amendment Act, 1964"
,2 of 3,"Later in 1958, in Madras Bhoodan Yagna Act, 1958"
,3 of 3,"Indian Registration Act, 1908"
3041,1 of 4,State Government in revision under section 64A of the Act
,2 of 4,Motor Vehicles Act hereinafter called the Act
,3 of 4,The expression new entrant is number defined either in the Act
,4 of 4,"Motor Vehicles Rules, 1964 which have been framed under the Act"
3042,1 of 5,States Reorganisation Act. 1956
,2 of 5,"State and the C.P. and Berar Sales Tax Act, 1947"
,3 of 5,"Merely because the C.P. and Berar Sales Tax Act, 1947"
,4 of 5,"Sales Tax Act, 1947 and the Hyderabad General Sales Tax Act, 1950"
,5 of 5,"Hyderabad as well in as much as the Bombay Sales Tax Act, 1959"
3043,1 of 1,"Essential Commodities Act, 1955"
3044,1 of 2,"There is numberhing in the Criminal Procedure Amendment Act, 1949"
,2 of 2,"Hindu Marriage Act, 1955"
3045,1 of 2,"India under Section 16 of the Central Excise and Salt Act, 1944"
,2 of 2,"Finance Act, 1910"
3046,1 of 1,"Section 29 I of the Defence of India Act, 1962"
3047,1 of 1,"Bombay Tenancy and Agricultural Lands Act, 1948"
3048,0 of 0,Empty
3049,1 of 3,"Court specially empowered under the Children Act, 1960"
,2 of 3,"The Reformatory Schools Act, 1897"
,3 of 3,"Penal Code can get the benefit of the Haryana Children Act, 1974"
3050,1 of 1,Agriculture Income Tax Act
3051,1 of 11,"Special Bearer Bonds Immunities and Exemptions Act, 1981"
,2 of 11,"Mines and Minerals Regulation and Development Act, 1948"
,3 of 11,"Wealth-tax Act , or the Gift-tax Act, 1958"
,4 of 11,"Indian Penal Code, the Prevention of Corruption Act, 1947"
,5 of 11,"Wealth-tax Act or the Gift tax Act, 1958"
