Index,Sections number,Sections
1974,0 of 0,Empty
1975,0 of 0,Empty
1976,0 of 0,Empty
1977,0 of 0,Empty
1978,0 of 0,Empty
1979,1 of 4,Section 165 IPC
,2 of 4,Section 5 IPC
,3 of 4,Section 1 IPC
,4 of 4,Section 161 IPC
1980,1 of 2,Section 302 IPC
,2 of 2,Section 34 IPC
1981,0 of 0,Empty
1982,0 of 0,Empty
1983,0 of 0,Empty
1984,0 of 0,Empty
1985,0 of 0,Empty
1986,0 of 0,Empty
1987,0 of 0,Empty
1988,0 of 0,Empty
1989,0 of 0,Empty
1990,0 of 0,Empty
1991,0 of 0,Empty
1992,0 of 0,Empty
1993,0 of 0,Empty
1994,0 of 0,Empty
1995,0 of 0,Empty
1996,0 of 0,Empty
1997,0 of 0,Empty
1998,0 of 0,Empty
1999,0 of 0,Empty
2000,0 of 0,Empty
2001,0 of 0,Empty
2002,0 of 0,Empty
2003,0 of 0,Empty
2004,0 of 0,Empty
2005,0 of 0,Empty
2006,0 of 0,Empty
2007,0 of 0,Empty
2008,0 of 0,Empty
2009,0 of 0,Empty
2010,0 of 0,Empty
2011,1 of 1,Section 479-A CrPC
2012,0 of 0,Empty
2013,0 of 0,Empty
2014,0 of 0,Empty
2015,0 of 0,Empty
2016,0 of 0,Empty
2017,0 of 0,Empty
2018,0 of 0,Empty
2019,0 of 0,Empty
2020,0 of 0,Empty
2021,0 of 0,Empty
2022,0 of 0,Empty
2023,0 of 0,Empty
2024,0 of 0,Empty
2025,0 of 0,Empty
2026,0 of 0,Empty
2027,0 of 0,Empty
2028,1 of 1,Section 404 CrPC
2029,0 of 0,Empty
2030,0 of 0,Empty
2031,0 of 0,Empty
2032,0 of 0,Empty
2033,0 of 0,Empty
2034,0 of 0,Empty
2035,0 of 0,Empty
2036,0 of 0,Empty
2037,1 of 14,Section 27 IPC
,2 of 14,Section 333 IPC
,3 of 14,Section 307 IPC
,4 of 14,Section 34 IPC
,5 of 14,Section 25 IPC
,6 of 14,Section 3102 IPC
,7 of 14,Section 302 IPC
,8 of 14,Section 324 IPC
,9 of 14,Section 149 IPC
,10 of 14,Section 5 IPC
,11 of 14,Section 4 IPC
,12 of 14,Section 3 IPC
,13 of 14,Section 6 IPC
,14 of 14,Section 332 IPC
2038,0 of 0,Empty
2039,1 of 3,Section 307 IPC
,2 of 3,Section 302 IPC
,3 of 3,Section 34 IPC
2040,0 of 0,Empty
2041,0 of 0,Empty
2042,0 of 0,Empty
2043,0 of 0,Empty
2044,0 of 0,Empty
2045,0 of 0,Empty
2046,0 of 0,Empty
2047,0 of 0,Empty
2048,0 of 0,Empty
2049,0 of 0,Empty
2050,0 of 0,Empty
2051,0 of 0,Empty
2052,0 of 0,Empty
2053,0 of 0,Empty
2054,0 of 0,Empty
2055,0 of 0,Empty
2056,0 of 0,Empty
2057,0 of 0,Empty
2058,0 of 0,Empty
2059,0 of 0,Empty
2060,0 of 0,Empty
2061,0 of 0,Empty
2062,0 of 0,Empty
2063,0 of 0,Empty
2064,0 of 0,Empty
2065,0 of 0,Empty
2066,0 of 0,Empty
2067,0 of 0,Empty
2068,0 of 0,Empty
2069,1 of 4,Section 8 CrPC
,2 of 4,Section 9 CrPC
,3 of 4,Section 342 CrPC
,4 of 4,Section 54 CrPC
2070,0 of 0,Empty
2071,0 of 0,Empty
2072,0 of 0,Empty
2073,0 of 0,Empty
2074,0 of 0,Empty
2075,0 of 0,Empty
2076,0 of 0,Empty
2077,0 of 0,Empty
2078,0 of 0,Empty
2079,1 of 1,Section 302 IPC
2080,0 of 0,Empty
2081,0 of 0,Empty
2082,0 of 0,Empty
2083,0 of 0,Empty
2084,0 of 0,Empty
2085,0 of 0,Empty
2086,0 of 0,Empty
2087,0 of 0,Empty
2088,1 of 1,Section 491 CrPC
2089,0 of 0,Empty
2090,0 of 0,Empty
2091,1 of 3,Section 10 CrPC
,2 of 3,Section 1 CrPC
,3 of 3,Section 1898 CrPC
2092,0 of 0,Empty
2093,0 of 0,Empty
2094,0 of 0,Empty
2095,0 of 0,Empty
2096,0 of 0,Empty
2097,1 of 5,Section 34 IPC
,2 of 5,Section 302 IPC
,3 of 5,Section 323 IPC
,4 of 5,Section 304 IPC
,5 of 5,Section 11 IPC
2098,0 of 0,Empty
2099,1 of 3,Section 149 IPC
,2 of 3,Section 326 IPC
,3 of 3,Section 342 CrPC
2100,0 of 0,Empty
2101,0 of 0,Empty
2102,0 of 0,Empty
2103,0 of 0,Empty
2104,0 of 0,Empty
2105,0 of 0,Empty
2106,0 of 0,Empty
2107,0 of 0,Empty
2108,0 of 0,Empty
2109,0 of 0,Empty
2110,0 of 0,Empty
2111,0 of 0,Empty
2112,0 of 0,Empty
2113,0 of 0,Empty
2114,0 of 0,Empty
2115,0 of 0,Empty
2116,0 of 0,Empty
2117,0 of 0,Empty
2118,0 of 0,Empty
2119,0 of 0,Empty
2120,0 of 0,Empty
2121,0 of 0,Empty
2122,0 of 0,Empty
2123,0 of 0,Empty
2124,0 of 0,Empty
2125,0 of 0,Empty
2126,0 of 0,Empty
2127,0 of 0,Empty
2128,0 of 0,Empty
2129,0 of 0,Empty
2130,0 of 0,Empty
2131,1 of 2,Section 363 IPC
,2 of 2,Section 423 CrPC
2132,0 of 0,Empty
2133,1 of 1,Section 549 CrPC
2134,0 of 0,Empty
2135,0 of 0,Empty
2136,0 of 0,Empty
2137,0 of 0,Empty
2138,0 of 0,Empty
2139,0 of 0,Empty
2140,0 of 0,Empty
2141,0 of 0,Empty
2142,0 of 0,Empty
2143,0 of 0,Empty
2144,0 of 0,Empty
2145,0 of 0,Empty
2146,0 of 0,Empty
2147,0 of 0,Empty
2148,0 of 0,Empty
2149,0 of 0,Empty
2150,0 of 0,Empty
2151,0 of 0,Empty
2152,1 of 3,Section 2 CrPC
,2 of 3,Section 10 CrPC
,3 of 3,Section 12 CrPC
2153,0 of 0,Empty
2154,0 of 0,Empty
2155,0 of 0,Empty
2156,0 of 0,Empty
2157,0 of 0,Empty
2158,0 of 0,Empty
2159,1 of 4,Section 167 IPC
,2 of 4,Section 466 IPC
,3 of 4,Section 110 CrPC
,4 of 4,Section 471 IPC
2160,0 of 0,Empty
2161,0 of 0,Empty
2162,0 of 0,Empty
2163,0 of 0,Empty
2164,0 of 0,Empty
2165,0 of 0,Empty
2166,0 of 0,Empty
2167,0 of 0,Empty
2168,0 of 0,Empty
2169,0 of 0,Empty
2170,0 of 0,Empty
2171,0 of 0,Empty
2172,0 of 0,Empty
2173,0 of 0,Empty
2174,0 of 0,Empty
2175,0 of 0,Empty
2176,0 of 0,Empty
2177,0 of 0,Empty
2178,0 of 0,Empty
2179,0 of 0,Empty
2180,0 of 0,Empty
2181,0 of 0,Empty
2182,0 of 0,Empty
2183,0 of 0,Empty
2184,0 of 0,Empty
2185,0 of 0,Empty
2186,0 of 0,Empty
2187,0 of 0,Empty
2188,0 of 0,Empty
2189,0 of 0,Empty
2190,0 of 0,Empty
2191,0 of 0,Empty
2192,0 of 0,Empty
2193,0 of 0,Empty
2194,0 of 0,Empty
2195,0 of 0,Empty
2196,0 of 0,Empty
2197,0 of 0,Empty
2198,0 of 0,Empty
2199,0 of 0,Empty
2200,0 of 0,Empty
2201,0 of 0,Empty
2202,0 of 0,Empty
2203,0 of 0,Empty
2204,0 of 0,Empty
2205,0 of 0,Empty
2206,0 of 0,Empty
2207,1 of 1,Section 109 IPC
2208,0 of 0,Empty
2209,0 of 0,Empty
2210,0 of 0,Empty
2211,0 of 0,Empty
2212,0 of 0,Empty
2213,0 of 0,Empty
2214,0 of 0,Empty
2215,0 of 0,Empty
2216,0 of 0,Empty
2217,0 of 0,Empty
2218,0 of 0,Empty
2219,0 of 0,Empty
2220,1 of 1,Section 302 IPC
2221,0 of 0,Empty
2222,0 of 0,Empty
2223,0 of 0,Empty
2224,0 of 0,Empty
2225,1 of 2,Section 192 CrPC
,2 of 2,Section 191 CrPC
2226,0 of 0,Empty
2227,0 of 0,Empty
2228,0 of 0,Empty
2229,0 of 0,Empty
2230,1 of 3,Section 404 CrPC
,2 of 3,Section 417 CrPC
,3 of 3,Section 1 CrPC
2231,0 of 0,Empty
2232,0 of 0,Empty
2233,0 of 0,Empty
2234,0 of 0,Empty
2235,1 of 3,Section 476 CrPC
,2 of 3,Section 479 CrPC
,3 of 3,Section 479-A CrPC
2236,0 of 0,Empty
2237,0 of 0,Empty
2238,0 of 0,Empty
2239,0 of 0,Empty
2240,0 of 0,Empty
2241,0 of 0,Empty
2242,0 of 0,Empty
2243,0 of 0,Empty
2244,0 of 0,Empty
2245,0 of 0,Empty
2246,0 of 0,Empty
2247,0 of 0,Empty
2248,0 of 0,Empty
2249,0 of 0,Empty
2250,0 of 0,Empty
2251,0 of 0,Empty
2252,0 of 0,Empty
2253,0 of 0,Empty
2254,0 of 0,Empty
2255,0 of 0,Empty
2256,0 of 0,Empty
2257,0 of 0,Empty
2258,0 of 0,Empty
2259,0 of 0,Empty
2260,0 of 0,Empty
2261,0 of 0,Empty
2262,0 of 0,Empty
2263,0 of 0,Empty
2264,0 of 0,Empty
2265,0 of 0,Empty
2266,0 of 0,Empty
2267,0 of 0,Empty
2268,0 of 0,Empty
2269,0 of 0,Empty
2270,0 of 0,Empty
2271,0 of 0,Empty
2272,0 of 0,Empty
2273,0 of 0,Empty
2274,0 of 0,Empty
2275,0 of 0,Empty
2276,0 of 0,Empty
2277,0 of 0,Empty
2278,0 of 0,Empty
2279,0 of 0,Empty
2280,0 of 0,Empty
2281,0 of 0,Empty
2282,0 of 0,Empty
2283,0 of 0,Empty
2284,0 of 0,Empty
2285,0 of 0,Empty
2286,0 of 0,Empty
2287,0 of 0,Empty
2288,0 of 0,Empty
2289,0 of 0,Empty
2290,0 of 0,Empty
2291,0 of 0,Empty
2292,0 of 0,Empty
2293,0 of 0,Empty
2294,0 of 0,Empty
2295,0 of 0,Empty
2296,0 of 0,Empty
2297,0 of 0,Empty
2298,0 of 0,Empty
2299,0 of 0,Empty
2300,1 of 1,Section 337 CrPC
2301,0 of 0,Empty
2302,0 of 0,Empty
2303,0 of 0,Empty
2304,0 of 0,Empty
2305,0 of 0,Empty
2306,0 of 0,Empty
2307,0 of 0,Empty
2308,0 of 0,Empty
2309,0 of 0,Empty
2310,0 of 0,Empty
2311,0 of 0,Empty
2312,0 of 0,Empty
2313,0 of 0,Empty
2314,0 of 0,Empty
2315,0 of 0,Empty
2316,0 of 0,Empty
2317,0 of 0,Empty
2318,0 of 0,Empty
2319,0 of 0,Empty
2320,0 of 0,Empty
2321,0 of 0,Empty
2322,0 of 0,Empty
2323,0 of 0,Empty
2324,0 of 0,Empty
2325,0 of 0,Empty
2326,0 of 0,Empty
2327,0 of 0,Empty
2328,0 of 0,Empty
2329,0 of 0,Empty
2330,0 of 0,Empty
2331,0 of 0,Empty
2332,0 of 0,Empty
2333,0 of 0,Empty
2334,0 of 0,Empty
2335,0 of 0,Empty
2336,0 of 0,Empty
2337,0 of 0,Empty
2338,0 of 0,Empty
2339,0 of 0,Empty
2340,0 of 0,Empty
2341,0 of 0,Empty
2342,0 of 0,Empty
2343,0 of 0,Empty
2344,0 of 0,Empty
2345,0 of 0,Empty
2346,0 of 0,Empty
2347,0 of 0,Empty
2348,0 of 0,Empty
2349,0 of 0,Empty
2350,0 of 0,Empty
2351,0 of 0,Empty
2352,0 of 0,Empty
2353,0 of 0,Empty
2354,0 of 0,Empty
2355,0 of 0,Empty
2356,0 of 0,Empty
2357,0 of 0,Empty
2358,0 of 0,Empty
2359,0 of 0,Empty
2360,0 of 0,Empty
2361,0 of 0,Empty
2362,0 of 0,Empty
2363,0 of 0,Empty
2364,0 of 0,Empty
2365,0 of 0,Empty
2366,0 of 0,Empty
2367,0 of 0,Empty
2368,0 of 0,Empty
2369,0 of 0,Empty
2370,0 of 0,Empty
2371,1 of 2,Section 195 CrPC
,2 of 2,Section 1 CrPC
2372,0 of 0,Empty
2373,0 of 0,Empty
2374,0 of 0,Empty
2375,0 of 0,Empty
2376,0 of 0,Empty
2377,0 of 0,Empty
2378,0 of 0,Empty
2379,0 of 0,Empty
2380,0 of 0,Empty
2381,0 of 0,Empty
2382,0 of 0,Empty
2383,0 of 0,Empty
2384,0 of 0,Empty
2385,0 of 0,Empty
2386,0 of 0,Empty
2387,0 of 0,Empty
2388,0 of 0,Empty
2389,0 of 0,Empty
2390,0 of 0,Empty
2391,0 of 0,Empty
2392,0 of 0,Empty
2393,0 of 0,Empty
2394,0 of 0,Empty
2395,0 of 0,Empty
2396,1 of 1,Section 165 CrPC
2397,0 of 0,Empty
2398,1 of 1,Section 304 IPC
2399,0 of 0,Empty
2400,0 of 0,Empty
2401,0 of 0,Empty
2402,0 of 0,Empty
2403,0 of 0,Empty
2404,0 of 0,Empty
2405,0 of 0,Empty
2406,0 of 0,Empty
2407,0 of 0,Empty
2408,0 of 0,Empty
2409,0 of 0,Empty
2410,0 of 0,Empty
2411,0 of 0,Empty
2412,0 of 0,Empty
2413,0 of 0,Empty
2414,0 of 0,Empty
2415,0 of 0,Empty
2416,0 of 0,Empty
2417,0 of 0,Empty
2418,0 of 0,Empty
2419,0 of 0,Empty
2420,0 of 0,Empty
2421,0 of 0,Empty
2422,0 of 0,Empty
2423,0 of 0,Empty
2424,0 of 0,Empty
2425,0 of 0,Empty
2426,0 of 0,Empty
2427,0 of 0,Empty
2428,0 of 0,Empty
2429,0 of 0,Empty
2430,0 of 0,Empty
2431,0 of 0,Empty
2432,0 of 0,Empty
2433,0 of 0,Empty
2434,0 of 0,Empty
2435,0 of 0,Empty
2436,0 of 0,Empty
2437,0 of 0,Empty
2438,0 of 0,Empty
2439,0 of 0,Empty
2440,0 of 0,Empty
2441,0 of 0,Empty
2442,0 of 0,Empty
2443,0 of 0,Empty
2444,0 of 0,Empty
2445,0 of 0,Empty
2446,0 of 0,Empty
2447,0 of 0,Empty
2448,0 of 0,Empty
2449,0 of 0,Empty
2450,0 of 0,Empty
2451,0 of 0,Empty
2452,0 of 0,Empty
2453,0 of 0,Empty
2454,0 of 0,Empty
2455,0 of 0,Empty
2456,0 of 0,Empty
2457,0 of 0,Empty
2458,0 of 0,Empty
2459,0 of 0,Empty
2460,0 of 0,Empty
2461,0 of 0,Empty
2462,0 of 0,Empty
2463,0 of 0,Empty
2464,0 of 0,Empty
2465,0 of 0,Empty
2466,0 of 0,Empty
2467,0 of 0,Empty
2468,0 of 0,Empty
2469,0 of 0,Empty
2470,0 of 0,Empty
2471,0 of 0,Empty
2472,0 of 0,Empty
2473,0 of 0,Empty
2474,0 of 0,Empty
2475,0 of 0,Empty
2476,0 of 0,Empty
2477,0 of 0,Empty
2478,0 of 0,Empty
2479,0 of 0,Empty
2480,0 of 0,Empty
2481,0 of 0,Empty
2482,0 of 0,Empty
2483,1 of 3,Section 482 CrPC
,2 of 3,Section 480 CrPC
,3 of 3,Section 1898 CrPC
2484,0 of 0,Empty
2485,0 of 0,Empty
2486,0 of 0,Empty
2487,0 of 0,Empty
2488,0 of 0,Empty
2489,0 of 0,Empty
2490,0 of 0,Empty
2491,0 of 0,Empty
2492,0 of 0,Empty
2493,0 of 0,Empty
2494,0 of 0,Empty
2495,0 of 0,Empty
2496,0 of 0,Empty
2497,0 of 0,Empty
2498,0 of 0,Empty
2499,0 of 0,Empty
2500,0 of 0,Empty
2501,0 of 0,Empty
2502,0 of 0,Empty
2503,0 of 0,Empty
2504,1 of 1,Section 154 CrPC
2505,0 of 0,Empty
2506,0 of 0,Empty
2507,0 of 0,Empty
2508,0 of 0,Empty
2509,0 of 0,Empty
2510,0 of 0,Empty
2511,0 of 0,Empty
2512,0 of 0,Empty
2513,0 of 0,Empty
2514,0 of 0,Empty
2515,0 of 0,Empty
2516,0 of 0,Empty
2517,0 of 0,Empty
2518,0 of 0,Empty
2519,0 of 0,Empty
2520,0 of 0,Empty
2521,0 of 0,Empty
2522,0 of 0,Empty
2523,0 of 0,Empty
2524,0 of 0,Empty
2525,0 of 0,Empty
2526,0 of 0,Empty
2527,0 of 0,Empty
2528,0 of 0,Empty
2529,0 of 0,Empty
2530,0 of 0,Empty
2531,0 of 0,Empty
2532,0 of 0,Empty
2533,0 of 0,Empty
2534,0 of 0,Empty
2535,0 of 0,Empty
2536,0 of 0,Empty
2537,0 of 0,Empty
2538,0 of 0,Empty
2539,0 of 0,Empty
2540,0 of 0,Empty
2541,0 of 0,Empty
2542,0 of 0,Empty
2543,0 of 0,Empty
2544,0 of 0,Empty
2545,0 of 0,Empty
2546,0 of 0,Empty
2547,0 of 0,Empty
2548,0 of 0,Empty
2549,0 of 0,Empty
2550,0 of 0,Empty
2551,0 of 0,Empty
2552,0 of 0,Empty
2553,0 of 0,Empty
2554,0 of 0,Empty
2555,0 of 0,Empty
2556,0 of 0,Empty
2557,0 of 0,Empty
2558,0 of 0,Empty
2559,0 of 0,Empty
2560,0 of 0,Empty
2561,0 of 0,Empty
2562,0 of 0,Empty
2563,0 of 0,Empty
2564,0 of 0,Empty
2565,0 of 0,Empty
2566,0 of 0,Empty
2567,0 of 0,Empty
2568,0 of 0,Empty
2569,0 of 0,Empty
2570,0 of 0,Empty
2571,0 of 0,Empty
2572,0 of 0,Empty
2573,0 of 0,Empty
2574,0 of 0,Empty
2575,0 of 0,Empty
2576,0 of 0,Empty
2577,0 of 0,Empty
2578,0 of 0,Empty
2579,0 of 0,Empty
2580,0 of 0,Empty
2581,0 of 0,Empty
2582,0 of 0,Empty
2583,0 of 0,Empty
2584,0 of 0,Empty
2585,0 of 0,Empty
2586,0 of 0,Empty
2587,0 of 0,Empty
2588,0 of 0,Empty
2589,0 of 0,Empty
2590,0 of 0,Empty
2591,0 of 0,Empty
2592,0 of 0,Empty
2593,0 of 0,Empty
2594,0 of 0,Empty
2595,0 of 0,Empty
2596,0 of 0,Empty
2597,0 of 0,Empty
2598,0 of 0,Empty
2599,0 of 0,Empty
2600,0 of 0,Empty
2601,0 of 0,Empty
2602,0 of 0,Empty
2603,0 of 0,Empty
2604,0 of 0,Empty
2605,0 of 0,Empty
2606,0 of 0,Empty
2607,0 of 0,Empty
2608,0 of 0,Empty
2609,0 of 0,Empty
2610,0 of 0,Empty
2611,0 of 0,Empty
2612,0 of 0,Empty
2613,0 of 0,Empty
2614,0 of 0,Empty
2615,0 of 0,Empty
2616,0 of 0,Empty
2617,0 of 0,Empty
2618,0 of 0,Empty
2619,0 of 0,Empty
2620,0 of 0,Empty
2621,0 of 0,Empty
2622,0 of 0,Empty
2623,0 of 0,Empty
2624,0 of 0,Empty
2625,0 of 0,Empty
2626,0 of 0,Empty
2627,0 of 0,Empty
2628,0 of 0,Empty
2629,0 of 0,Empty
2630,1 of 1,Section 302 IPC
2631,0 of 0,Empty
2632,0 of 0,Empty
2633,0 of 0,Empty
2634,0 of 0,Empty
2635,0 of 0,Empty
2636,0 of 0,Empty
2637,0 of 0,Empty
2638,0 of 0,Empty
2639,0 of 0,Empty
2640,0 of 0,Empty
2641,0 of 0,Empty
2642,0 of 0,Empty
2643,0 of 0,Empty
2644,0 of 0,Empty
2645,0 of 0,Empty
2646,0 of 0,Empty
2647,0 of 0,Empty
2648,0 of 0,Empty
2649,0 of 0,Empty
2650,0 of 0,Empty
2651,0 of 0,Empty
2652,0 of 0,Empty
2653,0 of 0,Empty
2654,0 of 0,Empty
2655,0 of 0,Empty
2656,0 of 0,Empty
2657,0 of 0,Empty
2658,0 of 0,Empty
2659,0 of 0,Empty
2660,0 of 0,Empty
2661,0 of 0,Empty
2662,0 of 0,Empty
2663,0 of 0,Empty
2664,0 of 0,Empty
2665,0 of 0,Empty
2666,0 of 0,Empty
2667,0 of 0,Empty
2668,0 of 0,Empty
2669,0 of 0,Empty
2670,0 of 0,Empty
2671,0 of 0,Empty
2672,0 of 0,Empty
2673,0 of 0,Empty
2674,0 of 0,Empty
2675,0 of 0,Empty
2676,0 of 0,Empty
2677,0 of 0,Empty
2678,0 of 0,Empty
2679,0 of 0,Empty
2680,0 of 0,Empty
2681,0 of 0,Empty
2682,0 of 0,Empty
2683,0 of 0,Empty
2684,0 of 0,Empty
2685,0 of 0,Empty
2686,0 of 0,Empty
2687,0 of 0,Empty
2688,0 of 0,Empty
2689,0 of 0,Empty
2690,0 of 0,Empty
2691,0 of 0,Empty
2692,0 of 0,Empty
2693,0 of 0,Empty
2694,0 of 0,Empty
2695,0 of 0,Empty
2696,0 of 0,Empty
2697,0 of 0,Empty
2698,0 of 0,Empty
2699,0 of 0,Empty
2700,0 of 0,Empty
2701,0 of 0,Empty
2702,0 of 0,Empty
2703,0 of 0,Empty
2704,0 of 0,Empty
2705,0 of 0,Empty
2706,0 of 0,Empty
2707,0 of 0,Empty
2708,0 of 0,Empty
2709,0 of 0,Empty
2710,0 of 0,Empty
2711,1 of 1,Section 164 CrPC
2712,0 of 0,Empty
2713,0 of 0,Empty
2714,0 of 0,Empty
2715,0 of 0,Empty
2716,0 of 0,Empty
2717,0 of 0,Empty
2718,0 of 0,Empty
2719,0 of 0,Empty
2720,0 of 0,Empty
2721,0 of 0,Empty
2722,0 of 0,Empty
2723,0 of 0,Empty
2724,0 of 0,Empty
2725,0 of 0,Empty
2726,0 of 0,Empty
2727,0 of 0,Empty
2728,0 of 0,Empty
2729,0 of 0,Empty
2730,0 of 0,Empty
2731,0 of 0,Empty
2732,0 of 0,Empty
2733,0 of 0,Empty
2734,0 of 0,Empty
2735,0 of 0,Empty
2736,0 of 0,Empty
2737,0 of 0,Empty
2738,0 of 0,Empty
2739,0 of 0,Empty
2740,0 of 0,Empty
2741,0 of 0,Empty
2742,0 of 0,Empty
2743,0 of 0,Empty
2744,0 of 0,Empty
2745,0 of 0,Empty
2746,0 of 0,Empty
2747,0 of 0,Empty
2748,0 of 0,Empty
2749,0 of 0,Empty
2750,0 of 0,Empty
2751,0 of 0,Empty
2752,0 of 0,Empty
2753,1 of 1,Section 403 CrPC
2754,0 of 0,Empty
2755,0 of 0,Empty
2756,0 of 0,Empty
2757,0 of 0,Empty
2758,0 of 0,Empty
2759,0 of 0,Empty
2760,0 of 0,Empty
2761,0 of 0,Empty
2762,0 of 0,Empty
2763,0 of 0,Empty
2764,0 of 0,Empty
2765,0 of 0,Empty
2766,0 of 0,Empty
2767,0 of 0,Empty
2768,0 of 0,Empty
2769,0 of 0,Empty
2770,0 of 0,Empty
2771,0 of 0,Empty
2772,0 of 0,Empty
2773,0 of 0,Empty
2774,1 of 1,Section 406 IPC
2775,0 of 0,Empty
2776,0 of 0,Empty
2777,0 of 0,Empty
2778,0 of 0,Empty
2779,0 of 0,Empty
2780,0 of 0,Empty
2781,0 of 0,Empty
2782,0 of 0,Empty
2783,0 of 0,Empty
2784,0 of 0,Empty
2785,0 of 0,Empty
2786,0 of 0,Empty
2787,0 of 0,Empty
2788,0 of 0,Empty
2789,0 of 0,Empty
2790,0 of 0,Empty
2791,0 of 0,Empty
2792,0 of 0,Empty
2793,0 of 0,Empty
2794,0 of 0,Empty
2795,0 of 0,Empty
2796,0 of 0,Empty
2797,0 of 0,Empty
2798,0 of 0,Empty
2799,0 of 0,Empty
2800,0 of 0,Empty
2801,0 of 0,Empty
2802,0 of 0,Empty
2803,0 of 0,Empty
2804,0 of 0,Empty
2805,0 of 0,Empty
2806,0 of 0,Empty
2807,0 of 0,Empty
2808,0 of 0,Empty
2809,0 of 0,Empty
2810,0 of 0,Empty
2811,0 of 0,Empty
2812,0 of 0,Empty
2813,0 of 0,Empty
2814,0 of 0,Empty
2815,0 of 0,Empty
2816,0 of 0,Empty
2817,0 of 0,Empty
2818,1 of 2,Section 2 CrPC
,2 of 2,Section 195 CrPC
2819,0 of 0,Empty
2820,0 of 0,Empty
2821,0 of 0,Empty
2822,0 of 0,Empty
2823,0 of 0,Empty
2824,0 of 0,Empty
2825,0 of 0,Empty
2826,0 of 0,Empty
2827,0 of 0,Empty
2828,0 of 0,Empty
2829,0 of 0,Empty
2830,0 of 0,Empty
2831,0 of 0,Empty
2832,1 of 2,Section 302 IPC
,2 of 2,Section 201 IPC
2833,1 of 2,Section 200 IPC
,2 of 2,Section 199 IPC
2834,0 of 0,Empty
2835,0 of 0,Empty
2836,0 of 0,Empty
2837,0 of 0,Empty
2838,0 of 0,Empty
2839,0 of 0,Empty
2840,0 of 0,Empty
2841,0 of 0,Empty
2842,0 of 0,Empty
2843,0 of 0,Empty
2844,0 of 0,Empty
2845,1 of 1,Section 406 CrPC
2846,0 of 0,Empty
2847,0 of 0,Empty
2848,0 of 0,Empty
2849,0 of 0,Empty
2850,0 of 0,Empty
2851,0 of 0,Empty
2852,0 of 0,Empty
2853,0 of 0,Empty
2854,1 of 1,Section 468 CrPC
2855,0 of 0,Empty
2856,1 of 1,Section 540 CrPC
2857,0 of 0,Empty
2858,0 of 0,Empty
2859,0 of 0,Empty
2860,0 of 0,Empty
2861,0 of 0,Empty
2862,0 of 0,Empty
2863,0 of 0,Empty
2864,0 of 0,Empty
2865,0 of 0,Empty
2866,0 of 0,Empty
2867,0 of 0,Empty
2868,1 of 4,Section 161 CrPC
,2 of 4,Section 2 CrPC
,3 of 4,Section 1 CrPC
,4 of 4,Section 160 CrPC
2869,0 of 0,Empty
2870,0 of 0,Empty
2871,0 of 0,Empty
2872,0 of 0,Empty
2873,0 of 0,Empty
2874,0 of 0,Empty
2875,0 of 0,Empty
2876,1 of 4,Section 2 IPC
,2 of 4,Section 460 IPC
,3 of 4,Section 27 IPC
,4 of 4,Section 307 IPC
2877,0 of 0,Empty
2878,0 of 0,Empty
2879,0 of 0,Empty
2880,0 of 0,Empty
2881,0 of 0,Empty
2882,0 of 0,Empty
2883,0 of 0,Empty
2884,0 of 0,Empty
2885,0 of 0,Empty
2886,0 of 0,Empty
2887,0 of 0,Empty
2888,0 of 0,Empty
2889,0 of 0,Empty
2890,0 of 0,Empty
2891,0 of 0,Empty
2892,0 of 0,Empty
2893,0 of 0,Empty
2894,0 of 0,Empty
2895,0 of 0,Empty
2896,0 of 0,Empty
2897,0 of 0,Empty
2898,0 of 0,Empty
2899,1 of 3,Section 545 CrPC
,2 of 3,Section 5 CrPC
,3 of 3,Section 1898 CrPC
2900,0 of 0,Empty
2901,1 of 4,Section 207 CrPC
,2 of 4,Section 540 CrPC
,3 of 4,Section 60 CrPC
,4 of 4,Section 1898 CrPC
2902,0 of 0,Empty
2903,0 of 0,Empty
2904,0 of 0,Empty
2905,0 of 0,Empty
2906,0 of 0,Empty
2907,0 of 0,Empty
2908,0 of 0,Empty
2909,0 of 0,Empty
2910,0 of 0,Empty
2911,0 of 0,Empty
2912,0 of 0,Empty
2913,1 of 4,Section 435 CrPC
,2 of 4,Section 439 CrPC
,3 of 4,Section 146 CrPC
,4 of 4,Section 1898 CrPC
2914,0 of 0,Empty
2915,0 of 0,Empty
2916,1 of 4,Section 299 IPC
,2 of 4,Section 302 IPC
,3 of 4,Section 304 IPC
,4 of 4,Section 300 IPC
2917,0 of 0,Empty
2918,0 of 0,Empty
2919,1 of 2,Section 307 IPC
,2 of 2,Section 302 IPC
2920,0 of 0,Empty
2921,0 of 0,Empty
2922,0 of 0,Empty
2923,0 of 0,Empty
2924,1 of 3,Section 376 IPC
,2 of 3,Section 375 IPC
,3 of 3,Section 34 IPC
2925,1 of 3,Section 2 IPC
,2 of 3,Section 161 IPC
,3 of 3,Section 75 IPC
2926,0 of 0,Empty
2927,0 of 0,Empty
2928,0 of 0,Empty
2929,0 of 0,Empty
2930,0 of 0,Empty
2931,0 of 0,Empty
2932,0 of 0,Empty
2933,0 of 0,Empty
2934,0 of 0,Empty
2935,0 of 0,Empty
2936,0 of 0,Empty
2937,0 of 0,Empty
2938,0 of 0,Empty
2939,0 of 0,Empty
2940,0 of 0,Empty
2941,1 of 1,Section 302 IPC
